Transactions,Non Reg,Sample,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SELECTION CRITERIA: All transaction types,,,,,,,,,,,,,,,,,,,,,
SECURITY: All securities,,,,,,,,,,,,,,,,,,,,,
DATES: 01-JAN-2024 TO 01-JAN-2025,,,,,,,,,,,,,,,,,,,,,
                      ,,,,,,,,,,,,,,,,,,,,,
TRANS/VALUE DATE,ENTRY DATE,TRANS TYPE,A/C,ST,QUANTITY,TRADE NO,CUSIP,SYMBOL,SECURITY DESCRIPTION,AVG COST,,UNIT PRICE,,TOTAL AMOUNT,,REMARK,GAIN/LOSS,,CXLD,LONG REMARK,COMMISSION
08-Mar-24,,Journal Sale,18,,-630,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,SEL KP,,,,AS OF 03/08/24                 DEL FRACTIONAL SHARES OUT RE   SALE OF 201897.630 SHARES,
08-Mar-24,,Reinvested,18,,-2,,D002577,,1000THS DYNAMIC PREMIUM YIELD,,,,,0,,XCH F1,,,,ROUNDING DECIMAL ADJUSTMENT,
07-Mar-24,08-Mar-24,Interest,18,,890,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,INT C5,,,,AS OF 03/07/24                 REINVESTED @ $1.00,
07-Mar-24,08-Mar-24,Interest,18,,192,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,INT C5,,,,AS OF 03/07/24                 REINVESTED @ $1.00,
07-Mar-2024/08-Mar-2024,08-Mar-24,SELL,18,,-201897,2432,B074135,BMT102,BMO CAD HISA CL F (102),1,,1,,201897.63,,,0.63,,,,0
06-Mar-2024/08-Mar-2024,06-Mar-24,BUY,18,,200000,6664,5CRTCG2,,BMO EXT'31 LINACCR 5.5%08MAR31,,,100,,-200000,,,,,,,-1400
04-Mar-24,,Reinvested,18,,-1000,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,
04-Mar-24,,Reinvested,18,,1,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,
29-Feb-24,01-Mar-24,Interest,18,,950,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,INT C5,,,,AS OF 02/29/24                 REINVESTED @ $1.00,
29-Feb-24,01-Mar-24,Interest,18,,795,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,INT C5,,,,AS OF 02/29/24                 REINVESTED @ $1.00,
23-Feb-24,26-Feb-24,Stock Div,18,,53,,D002576,DYN2853,DYNAMIC PREMIUM YIELD FD SR F(,,,,,0,,DIV C5,,,,AS OF 02/23/24                 REINVESTED DIVIDENDS @$11.6146,
23-Feb-24,26-Feb-24,Stock Div,18,,131,,D002577,,1000THS DYNAMIC PREMIUM YIELD,,,,,0,,DIV C5,,,,AS OF 02/23/24                 REINVESTED DIVIDENDS @$11.6146,
31-Jan-24,01-Feb-24,Interest,18,,100,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,INT C5,,,,AS OF 01/31/24                 REINVESTED @ $1.00,
31-Jan-24,01-Feb-24,Interest,18,,869,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,INT C5,,,,AS OF 01/31/24                 REINVESTED @ $1.00,
30-Jan-24,,Reinvested,18,,1,,D002576,DYN2853,DYNAMIC PREMIUM YIELD FD SR F(,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,
30-Jan-24,,Reinvested,18,,-1000,,D002577,,1000THS DYNAMIC PREMIUM YIELD,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,
29-Jan-24,,Interest,18,,,,5CNDZH2,,BMO S/U *CALLED   5.65%27JUL24,,,,,5650,,INT,,,,REG INT   ON  200000 BND       REC 01/26/24 PAY 01/29/24,
26-Jan-24,29-Jan-24,Stock Div,18,,53,,D002576,DYN2853,DYNAMIC PREMIUM YIELD FD SR F(,,,,,0,,DIV C5,,,,AS OF 01/26/24                 REINVESTED DIVIDENDS @$11.4397,
26-Jan-24,29-Jan-24,Stock Div,18,,631,,D002577,,1000THS DYNAMIC PREMIUM YIELD,,,,,0,,DIV C5,,,,AS OF 01/26/24                 REINVESTED DIVIDENDS @$11.4397,
09-Jan-24,,Withdrawal,18,,,,,,ELECTRONIC FUND TRANSFER,,,,,-20000,,EFT T9,,,,ELECTRONIC FUND TRANSFER,
08-Jan-2024/09-Jan-2024,09-Jan-24,SELL,18,,-20000,6160,B074135,BMT102,BMO CAD HISA CL F (102),1,,1,,20000,,,0,,,,0
