Transaction,SAMPLE- RRSP 1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SELECTION CRITERIA: All transaction types,,,,,,,,,,,,,,,,,,,,,
SECURITY: All securities,,,,,,,,,,,,,,,,,,,,,
DATES: 01-JAN-2024 TO 01-JAN-2025,,,,,,,,,,,,,,,,,,,,,
                      ,,,,,,,,,,,,,,,,,,,,,
TRANS/VALUE DATE,ENTRY DATE,TRANS TYPE,A/C,ST,QUANTITY,TRADE NO,CUSIP,SYMBOL,SECURITY DESCRIPTION,AVG COST,,UNIT PRICE,,TOTAL AMOUNT,,REMARK,GAIN/LOSS,,CXLD,LONG REMARK,COMMISSION
03-Jun-24,,Expired,19,,-50000,,475VRPMJ9,,ICICI BK GIC ANN  4.25%03JUN24,,,,,50000,,RED RG,,,,ISSUE REDEEMED FOR CASH,
31-May-24,03-Jun-24,Interest,19,,920,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,INT C5,,,,AS OF 05/31/24                 REINVESTED @ $1.00,
31-May-24,03-Jun-24,Interest,19,,714,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,INT C5,,,,AS OF 05/31/24                 REINVESTED @ $1.00,
31-May-24,03-Jun-24,Interest,19U,,630,,B074345,,1000THS BMO USD HISA SR I(123),,,,,0,U,INT C5,,,,AS OF 05/31/24                 REINVESTED @ $1.00,
31-May-24,03-Jun-24,Interest,19U,,220,,B074346,BMT123,BMO USD HISA CL I  (123),,,,,0,U,INT C5,,,,AS OF 05/31/24                 REINVESTED @ $1.00,
02-May-24,,Reinvested,19U,,-1000,,B074345,,1000THS BMO USD HISA SR I(123),,,,,0,U,EXH AB,,,,FULL SHARES FOR FRACTIONS,
02-May-24,,Reinvested,19U,,1,,B074346,BMT123,BMO USD HISA CL I  (123),,,,,0,U,EXH AB,,,,FULL SHARES FOR FRACTIONS,
30-Apr-24,01-May-24,Interest,19,,30,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,INT C5,,,,AS OF 04/30/24                 REINVESTED @ $1.00,
30-Apr-24,01-May-24,Interest,19,,689,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,INT C5,,,,AS OF 04/30/24                 REINVESTED @ $1.00,
30-Apr-24,01-May-24,Interest,19U,,660,,B074345,,1000THS BMO USD HISA SR I(123),,,,,0,U,INT C5,,,,AS OF 04/30/24                 REINVESTED @ $1.00,
30-Apr-24,01-May-24,Interest,19U,,212,,B074346,BMT123,BMO USD HISA CL I  (123),,,,,0,U,INT C5,,,,AS OF 04/30/24                 REINVESTED @ $1.00,
02-Apr-24,,Reinvested,19U,,-1000,,B074345,,1000THS BMO USD HISA SR I(123),,,,,0,U,EXH AB,,,,FULL SHARES FOR FRACTIONS,
02-Apr-24,,Reinvested,19U,,1,,B074346,BMT123,BMO USD HISA CL I  (123),,,,,0,U,EXH AB,,,,FULL SHARES FOR FRACTIONS,
28-Mar-24,01-Apr-24,Interest,19,,709,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,INT C5,,,,AS OF 03/28/24                 REINVESTED @ $1.00,
28-Mar-24,01-Apr-24,Interest,19U,,840,,B074345,,1000THS BMO USD HISA SR I(123),,,,,0,U,INT C5,,,,AS OF 03/28/24                 REINVESTED @ $1.00,
28-Mar-24,01-Apr-24,Interest,19U,,218,,B074346,BMT123,BMO USD HISA CL I  (123),,,,,0,U,INT C5,,,,AS OF 03/28/24                 REINVESTED @ $1.00,
04-Mar-24,,Reinvested,19,,-1000,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,
04-Mar-24,,Reinvested,19,,1,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,
04-Mar-24,,Reinvested,19U,,-1000,,B074345,,1000THS BMO USD HISA SR I(123),,,,,0,U,EXH AB,,,,FULL SHARES FOR FRACTIONS,
04-Mar-24,,Reinvested,19U,,1,,B074346,BMT123,BMO USD HISA CL I  (123),,,,,0,U,EXH AB,,,,FULL SHARES FOR FRACTIONS,
29-Feb-24,01-Mar-24,Interest,19,,640,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,INT C5,,,,AS OF 02/29/24                 REINVESTED @ $1.00,
29-Feb-24,01-Mar-24,Interest,19,,660,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,INT C5,,,,AS OF 02/29/24                 REINVESTED @ $1.00,
29-Feb-24,01-Mar-24,Interest,19U,,930,,B074345,,1000THS BMO USD HISA SR I(123),,,,,0,U,INT C5,,,,AS OF 02/29/24                 REINVESTED @ $1.00,
29-Feb-24,01-Mar-24,Interest,19U,,203,,B074346,BMT123,BMO USD HISA CL I  (123),,,,,0,U,INT C5,,,,AS OF 02/29/24                 REINVESTED @ $1.00,
